City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,olonkinbyen,70.9221,-8.7187,1.05,89,100,13.2,SJ,1714965246
1,happy valley-goose bay,53.3168,-60.3315,8.77,80,100,3.16,CA,1714965247
2,badger,64.8,-147.5333,14.95,39,100,6.69,US,1714965271
3,waitangi,-43.9535,-176.5597,13.79,81,66,3.13,NZ,1714965272
4,mont-laurier,46.5501,-75.4993,11.1,94,100,2.74,CA,1714965272
5,grytviken,-54.2811,-36.5092,1.77,86,17,3.52,GS,1714965273
6,bethel,41.3712,-73.414,10.76,89,100,0.98,US,1714965273
7,pokachi,61.7198,75.3683,-3.11,90,97,7.03,RU,1714965274
8,sandnessjoen,66.0217,12.6316,8.06,49,0,2.06,NO,1714965275
9,papatowai,-46.5619,169.4708,8.84,57,76,5.98,NZ,1714965275
10,blackmans bay,-43.0167,147.3167,15.96,57,23,0.89,AU,1714965240
11,nar'yan-mar,67.6713,53.087,-7.16,88,89,1.79,RU,1714965213
12,longyearbyen,78.2186,15.6401,-4.09,68,100,3.09,SJ,1714965277
13,avarua,-21.2078,-159.775,27.03,89,20,7.72,CK,1714965257
14,puerto natales,-51.7236,-72.4875,-1.65,87,90,1.82,CL,1714965096
15,kapa'a,22.0752,-159.319,27.99,79,40,8.75,US,1714965278
16,port-aux-francais,-49.35,70.2167,6.01,85,86,12.0,TF,1714965269
17,keflavik,64.0049,-22.5624,3.24,87,75,7.2,IS,1714965274
18,west island,-12.1568,96.8225,28.99,70,40,6.69,CC,1714965238
19,saudarkrokur,65.7461,-19.6394,2.45,72,0,5.66,IS,1714965281
20,haiku-pauwela,20.9219,-156.3051,25.68,64,20,9.26,US,1714965257
21,balqash,46.8481,74.995,12.33,66,0,6.0,KZ,1714965282
22,noumea,-22.2763,166.4572,26.99,99,59,7.3,NC,1714965282
23,puerto deseado,-47.7503,-65.8938,4.67,58,5,4.04,AR,1714965283
24,hithadhoo,-0.6,73.0833,29.73,75,20,4.9,MV,1714965283
25,yanchep,-31.55,115.6833,21.18,56,0,3.24,AU,1714965284
26,kailua-kona,19.6406,-155.9956,26.98,81,75,4.12,US,1714965284
27,mahina,-17.5065,-149.489,30.42,62,40,3.09,PF,1714965245
28,dawei,14.0833,98.2,32.93,56,14,3.64,MM,1714965285
29,bahia blanca,-38.7196,-62.2724,12.56,39,100,2.03,AR,1714965163
30,okha,53.5739,142.9478,2.92,65,43,3.58,RU,1714965286
31,port elizabeth,-33.918,25.5701,21.29,37,2,0.89,ZA,1714965237
32,adamstown,-25.066,-130.1015,21.78,68,49,9.33,PN,1714965236
33,san luis de la loma,17.2706,-100.8939,25.94,78,100,1.85,MX,1714965288
34,iqaluit,63.7506,-68.5145,-9.44,96,82,1.46,CA,1714965061
35,hadibu,12.65,54.0333,29.24,77,96,2.63,YE,1714965245
36,susuman,62.7833,148.1667,0.55,61,81,1.34,RU,1714965290
37,tazacorte,28.629,-17.9293,18.54,77,0,5.14,ES,1714965290
38,ushuaia,-54.8,-68.3,1.17,99,100,2.4,AR,1714965083
39,udachny,66.4167,112.4,-0.31,81,84,4.59,RU,1714965292
40,dudinka,69.4058,86.1778,-5.21,83,100,3.65,RU,1714965246
41,margaret river,-33.95,115.0667,19.02,65,43,4.8,AU,1714965242
42,ust-nera,64.5667,143.2,3.29,75,97,1.83,RU,1714965240
43,callao,-12.0667,-77.15,20.95,82,0,6.69,PE,1714965297
44,virginia beach,36.8529,-75.978,21.12,96,98,1.34,US,1714965050
45,archangelos,36.2149,28.1149,17.99,71,0,4.33,GR,1714965299
46,bullhead city,35.1478,-114.5683,21.16,14,0,0.0,US,1714965109
47,port augusta,-32.5,137.7667,22.26,33,0,4.08,AU,1714965301
48,bredasdorp,-34.5322,20.0403,11.91,62,94,3.23,ZA,1714965302
49,la foa,-21.7108,165.8276,25.02,60,83,5.26,NC,1714965303
50,stanley,54.868,-1.6985,10.71,96,75,0.51,GB,1714965258
51,codrington,-38.2667,141.9667,16.32,60,7,6.25,AU,1714965285
52,edinburgh of the seven seas,-37.0676,-12.3116,13.24,70,100,14.66,SH,1714965242
53,kuanda,56.3161,116.0806,16.89,40,49,1.05,RU,1714965306
54,ilulissat,69.2167,-51.1,-5.99,73,100,5.14,GL,1714965037
55,afaahiti,-17.75,-149.2833,29.48,86,41,8.7,PF,1714965263
56,tejen,37.3834,60.5054,23.71,43,0,5.52,TM,1714965307
57,wellington,-41.2866,174.7756,17.81,55,2,4.63,NZ,1714965035
58,puerto ayora,-0.7393,-90.3518,23.08,97,58,2.24,EC,1714965309
59,chipinge,-20.1883,32.6236,12.53,74,3,1.06,ZW,1714965255
60,arraial do cabo,-22.9661,-42.0278,24.34,88,69,9.98,BR,1714965310
61,san antonio de pale,-1.4014,5.6325,27.95,85,72,5.55,GQ,1714965310
62,duba,27.3513,35.6901,24.28,55,0,3.35,SA,1714965311
63,jasper,37.2001,-94.3502,16.03,91,100,1.54,US,1714965311
64,sinabang,2.4803,96.3801,29.11,77,73,0.94,ID,1714965312
65,saipan,15.1355,145.701,33.39,55,40,7.2,MP,1714965240
66,albany,42.6001,-73.9662,11.56,83,100,2.11,US,1714965036
67,quellon,-43.1167,-73.6167,4.52,94,100,2.76,CL,1714965314
68,tiksi,71.6872,128.8694,-0.28,85,53,2.01,RU,1714965314
69,suva,-18.1416,178.4415,26.71,89,75,3.6,FJ,1714965176
70,mejit,10.2753,170.8646,27.91,76,94,7.67,MH,1714965315
71,eureka,40.8021,-124.1637,12.18,79,94,1.79,US,1714965316
72,yellowknife,62.456,-114.3525,11.98,68,4,5.36,CA,1714965316
73,atafu village,-8.5421,-172.5159,29.67,74,20,2.58,TK,1714965317
74,malaya vishera,58.8454,32.2222,-1.34,84,11,1.68,RU,1714965317
75,chinde,26.8418,88.0763,23.59,39,1,3.74,NP,1714965318
76,whitehorse,60.7161,-135.0538,8.23,64,100,2.24,CA,1714965237
77,newman,37.3138,-121.0208,15.14,60,39,1.79,US,1714965248
78,hadithah,34.1397,42.3781,21.24,48,62,6.98,IQ,1714965319
79,tazovsky,67.4667,78.7,-5.85,93,100,5.76,RU,1714965319
80,santa ana,33.7456,-117.8678,17.93,64,20,4.63,US,1714965297
81,labytnangi,66.6572,66.4183,-10.9,88,49,2.42,RU,1714965320
82,lihue,21.9789,-159.3672,27.58,73,40,8.75,US,1714965038
83,knyaze-volkonskoye,48.4642,135.4567,12.19,50,82,8.94,RU,1714965321
84,dolzhanskaya,46.6311,37.8039,12.94,47,0,3.15,RU,1714965322
85,jamestown,42.097,-79.2353,15.8,100,100,3.09,US,1714965322
86,maragogi,-9.0122,-35.2225,26.25,86,60,3.95,BR,1714965323
87,champerico,14.3,-91.9167,29.85,73,36,1.96,GT,1714965323
88,akureyri,65.6835,-18.0878,2.96,70,20,3.6,IS,1714965324
89,raduzhnyy,62.0961,77.475,-1.83,87,100,7.17,RU,1714965324
90,wailua homesteads,22.0669,-159.378,27.24,79,40,8.75,US,1714965325
91,george town,5.4112,100.3354,31.96,70,20,2.57,MY,1714965242
92,baiyin,36.5583,104.2081,18.98,15,34,2.27,CN,1714965326
93,san francisco telixtlahuaca,17.3,-96.9,21.79,61,86,1.79,MX,1714965326
94,isafjordur,66.0755,-23.124,1.11,74,5,3.85,IS,1714965265
95,utrik,11.2278,169.8474,27.46,79,90,7.46,MH,1714965327
96,tolanaro,-25.0319,46.9987,19.09,81,1,5.04,MG,1714965328
97,margate,51.3813,1.3862,12.39,87,30,2.23,GB,1714965217
98,san patricio,28.017,-97.5169,26.58,78,97,5.23,US,1714965329
99,papao,-17.75,-149.55,30.37,80,3,10.03,PF,1714965329
